"Objectid","HELP_CODE","OMSCHR_NEW","HELPID","BFeenh","bfe","Fit","Strng_B","Textuur","Walrus","Gt_code","GHG","GLG"
1,"|h BEBOUW","|h BEBOUW",0,"Onbekend",0,0.18181818181818182,"B17","Venige klei",9,0,-999.0,-999.0
2,"Kk5h","Rn95C",30,"Rn15C",16210,0.8,"B8","Matig lichte zavel",2,0,-999,-999
3,"Kk5h","Rn95A",30,"Rn95A",16090,1.0,"B9","Zware zavel",3,0,-999,-999
4,"Kk5h","Rn95C",30,"Rn15C",16210,0.8,"B8","Matig lichte zavel",2,0,-999,-999
5,"Kk5h","Rn95A",30,"Rn95A",16090,1.0,"B9","Zware zavel",3,0,-999,-999
6,"Kk34a","Rn47C",25,"Rn47C",16160,1.0,"B11","Matig zware klei",8,0,-999,-999
7,"Kk34a","Rn44C",25,"Rn47C",16160,0.8,"B11","Matig zware klei",8,0,-999,-999
8,"Kk1b","Rv01C",18,"Rv01C",16040,1.0,"B12","Zeer zware klei",11,35,0.3,1.1
9,"Kk5h","Rn95C",30,"Rn15C",16210,0.8,"B8","Matig lichte zavel",2,0,-999,-999
10,"Z1a","Zn21",35,"kZn21",10190,0.8888888888888888,"B9","Zware zavel",3,40,0.7,1.1
11,"|g WATER","|g WATER",0,"Onbekend",0,0.2,"B17","Venige klei",9,0,-999,-999
12,"Kk2b","Rn62C",22,"Rn67C",16130,0.8,"B10","Lichte klei",7,0,-999,-999
13,"Kk5h","Rd90A",30,"Rn95A",16090,0.6,"B9","Zware zavel",3,70,1.2,1.7
14,"Kk2b","Rn62C",22,"Rn67C",16130,0.8,"B10","Lichte klei",7,0,-999,-999
15,"tZ1a","pZg21",39,"pZg21",10010,1.0,"B2","Zwak lemig, zeer fijn tot matig fijn zand",2,60,0.7,1.5
16,"|g WATER","|g WATER",0,"Onbekend",0,0.2,"B17","Venige klei",9,0,-999,-999
17,"EZ1a","zEZ21",47,"zEZ21",8060,1.0,"B2","Zwak lemig, zeer fijn tot matig fijn zand",2,70,1.2,1.7
18,"tZ1a","pZg21",39,"pZg21",10010,1.0,"B2","Zwak lemig, zeer fijn tot matig fijn zand",2,35,0.3,1.1
19,"|h DIJK","|h DIJK",0,"Onbekend",0,0.2222222222222222,"B9","Zware zavel",3,0,-999,-999
20,"Kk2b","Rn62C",22,"Rn67C",16130,0.8,"B10","Lichte klei",7,0,-999,-999
21,"|h BEBOUW","|h BEBOUW",0,"Onbekend",0,0.18181818181818182,"B17","Venige klei",9,0,-999.0,-999.0
30,"Z1a","Zd21",35,"Zd21",10240,1.0,"B1","Leemarm, zeer fijn tot matig fijn zand",1,75,1.5,2.4
31,"Z1a","Zd21",35,"Zd21",10240,1.0,"B1","Leemarm, zeer fijn tot matig fijn zand",1,75,1.5,2.4
32,"Kk34a","Rn44C",25,"Rn47C",16160,0.8,"B11","Matig zware klei",8,0,-999,-999
33,"|c OPHOOG","|c OPHOOG",0,"Onbekend",0,0.2857142857142857,"B2","Zwak lemig, zeer fijn tot matig fijn zand",2,0,-999,-999
34,"Kk34b","Rn67C",26,"Rn67C",16130,1.0,"B10","Lichte klei",7,0,-999,-999
35,"Kk5h","Rn95C",30,"Rn15C",16210,0.8,"B8","Matig lichte zavel",2,0,-999,-999
36,"|c OPHOOG","|c OPHOOG",0,"Onbekend",0,0.2857142857142857,"B2","Zwak lemig, zeer fijn tot matig fijn zand",2,0,-999,-999
37,"|g WATER","|g WATER",0,"Onbekend",0,0.2,"B17","Venige klei",9,0,-999,-999
38,"Kk34a","Rn47C",25,"Rn47C",16160,1.0,"B11","Matig zware klei",8,0,-999,-999
39,"Kz2a","AO",19,"Onbekend",0,0.2857142857142857,"B2","Zwak lemig, zeer fijn tot matig fijn zand",2,40,0.7,1.1
40,"Kk2b","Rn62C",22,"Rn67C",16130,0.8,"B10","Lichte klei",7,0,-999,-999
41,"Kk34a","Rn47C",25,"Rn47C",16160,1.0,"B11","Matig zware klei",8,0,-999,-999
42,"Kk34b","Rn67C",26,"Rn67C",16130,1.0,"B10","Lichte klei",7,0,-999,-999
43,"Kz2a","AO",19,"Onbekend",0,0.2857142857142857,"B2","Zwak lemig, zeer fijn tot matig fijn zand",2,40,0.7,1.1
44,"Kk5h","Rn95C",30,"Rn15C",16210,0.8,"B8","Matig lichte zavel",2,0,-999,-999
